,Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,Defaulted,DebtIncomeRatio,Clus_km
83,84,38,1,1,42,0.891,2.931,,9.1,2
84,85,49,2,11,51,0.543,7.107,0.0,15.0,2
85,86,26,1,0,15,0.386,0.424,,5.4,2
86,87,22,4,0,25,1.491,1.559,,12.2,2
87,88,29,2,2,16,0.433,1.247,,10.5,2
88,89,28,2,8,31,1.492,1.05,1.0,8.2,2
89,90,23,4,0,32,0.818,5.07,1.0,18.4,2
90,91,37,2,11,75,0.633,1.992,0.0,3.5,0
91,92,35,2,5,33,0.103,0.821,0.0,2.8,2
92,93,31,1,1,21,0.277,0.248,1.0,2.5,2
93,94,29,1,1,20,0.569,3.151,1.0,18.6,2
94,95,34,3,7,27,0.125,0.469,0.0,2.2,2
95,96,47,2,7,49,0.254,0.187,,0.9,2
96,97,37,1,5,27,0.419,2.119,,9.4,2
97,98,38,1,10,34,0.036,0.372,0.0,1.2,2
98,99,32,2,5,28,2.594,1.55,1.0,14.8,2
99,100,22,3,0,20,0.219,0.721,0.0,4.7,2
100,101,30,1,7,33,1.165,7.217,1.0,25.4,2
101,102,38,4,13,126,7.613,9.649,,13.7,0
102,103,36,1,20,60,1.056,2.184,0.0,5.4,0
103,104,44,1,5,48,1.97,2.35,1.0,9.0,2
104,105,27,2,4,22,1.086,1.818,1.0,13.2,2
105,106,47,1,19,50,3.176,11.874,0.0,30.1,2
106,107,41,1,7,32,0.072,0.856,0.0,2.9,2
107,108,25,1,8,27,1.019,2.869,0.0,14.4,2
108,109,33,2,10,54,0.12,1.5,,3.0,2
109,110,42,3,13,82,1.315,1.391,0.0,3.3,0
110,111,36,1,14,53,1.888,1.133,0.0,5.7,2
111,112,25,4,0,32,2.14,3.492,0.0,17.6,2
112,113,30,1,10,39,2.056,1.649,0.0,9.5,2
113,114,24,1,0,16,1.009,1.551,1.0,16.0,2
114,115,32,1,7,23,0.861,1.393,,9.8,2
115,116,39,2,9,32,1.43,0.682,0.0,6.6,2
116,117,30,1,4,18,0.227,1.699,0.0,10.7,2
117,118,33,1,16,46,2.4,1.326,,8.1,2
118,119,32,2,12,63,5.55,5.916,0.0,18.2,0
119,120,33,1,7,26,0.543,1.017,0.0,6.0,2
120,121,29,2,6,21,0.369,2.046,0.0,11.5,2
121,122,28,2,5,37,1.124,1.947,0.0,8.3,2
122,123,33,4,9,32,0.496,1.264,0.0,5.5,2
123,124,39,2,16,53,0.694,1.267,0.0,3.7,2
124,125,32,1,10,42,1.54,2.282,0.0,9.1,2
125,126,46,1,9,72,0.828,2.772,,5.0,0
126,127,32,2,3,47,0.429,0.464,0.0,1.9,2
127,128,28,2,5,25,0.339,0.386,0.0,2.9,2
128,129,26,1,2,21,1.023,3.135,0.0,19.8,2
129,130,27,1,0,16,0.183,0.089,0.0,1.7,2
130,131,35,1,16,36,0.179,1.045,0.0,3.4,2
131,132,35,1,16,57,1.143,4.842,0.0,10.5,0
132,133,31,2,6,25,2.332,0.543,0.0,11.5,2
133,134,32,3,5,23,0.326,0.709,0.0,4.5,2
134,135,29,1,9,25,1.07,2.405,0.0,13.9,2
135,136,35,4,4,29,1.844,1.346,0.0,11.0,2
136,137,48,2,21,86,0.146,0.886,,1.2,0
137,138,24,1,4,19,1.185,0.905,,11.0,2
138,139,44,1,12,31,0.358,2.649,0.0,9.7,2
139,140,40,2,5,35,1.584,4.156,1.0,16.4,2
140,141,36,2,13,41,2.918,3.806,1.0,16.4,2
141,142,23,2,0,21,0.455,1.372,0.0,8.7,2
142,143,26,2,8,40,0.444,4.276,0.0,11.8,2
143,144,30,1,8,23,0.762,1.998,0.0,12.0,2
144,145,34,1,12,68,7.817,9.251,1.0,25.1,0
145,146,28,3,2,30,1.522,4.448,0.0,19.9,2
146,147,37,1,18,58,2.868,3.106,,10.3,0
147,148,46,3,3,43,3.042,2.634,1.0,13.2,2
148,149,24,2,1,42,0.838,1.556,0.0,5.7,2
149,150,25,2,6,26,0.07,1.1,0.0,4.5,2
150,151,33,1,14,37,0.199,0.763,0.0,2.6,2
151,152,46,1,7,41,0.585,9.009,,23.4,2
152,153,38,3,4,31,1.332,1.551,1.0,9.3,2
153,154,47,1,3,21,0.068,3.166,,15.4,2
154,155,34,2,9,65,2.108,1.922,0.0,6.2,0
155,156,35,1,16,37,4.213,2.151,,17.2,2
156,157,39,1,22,113,0.987,1.951,0.0,2.6,0
157,158,44,1,24,101,2.992,2.664,0.0,5.6,0
158,159,28,2,1,24,1.338,2.766,1.0,17.1,2
159,160,31,3,9,59,3.11,5.504,1.0,14.6,0
160,161,24,1,1,20,0.325,0.495,,4.1,2
161,162,36,3,13,39,2.801,4.687,0.0,19.2,2
162,163,35,2,14,82,0.468,0.188,0.0,0.8,0
163,164,31,1,11,47,2.864,2.259,0.0,10.9,2
164,165,28,2,6,22,0.65,1.88,0.0,11.5,2
165,166,36,4,8,32,0.025,0.487,0.0,1.6,2
166,167,31,3,6,54,0.402,1.11,0.0,2.8,2
167,168,30,1,11,27,0.074,0.169,0.0,0.9,2
168,169,26,1,10,24,0.311,0.337,0.0,2.7,2
169,170,48,4,3,45,0.975,3.435,0.0,9.8,2
170,171,39,2,16,89,5.002,7.725,0.0,14.3,0
171,172,31,1,7,20,0.111,2.349,0.0,12.3,2
172,173,31,3,9,28,0.122,0.606,0.0,2.6,2
173,174,27,3,3,45,0.292,4.658,1.0,11.0,2
174,175,31,1,13,27,0.238,1.112,0.0,5.0,2
175,176,53,1,0,27,2.754,5.049,1.0,28.9,2
176,177,40,1,15,55,0.856,2.169,0.0,5.5,2
177,178,26,1,7,22,0.209,0.913,0.0,5.1,2
178,179,29,2,5,36,3.491,0.973,1.0,12.4,2
179,180,52,1,19,89,0.397,3.786,0.0,4.7,0
180,181,39,2,2,46,4.004,3.356,1.0,16.0,2
181,182,33,2,13,40,0.181,2.699,0.0,7.2,2
182,183,24,1,7,21,0.52,0.803,0.0,6.3,2
183,184,47,1,29,129,20.561,12.076,1.0,25.3,0
184,185,41,3,2,15,1.961,1.984,1.0,26.3,2
185,186,26,2,6,45,6.049,5.651,0.0,26.0,2
186,187,48,1,3,24,0.764,0.916,0.0,7.0,2
187,188,37,1,13,24,0.602,1.534,0.0,8.9,2
188,189,37,1,20,41,0.899,4.39,,12.9,2
189,190,46,4,7,73,0.556,0.247,,1.1,0
190,191,30,1,8,27,3.744,1.737,,20.3,2
191,192,47,1,15,30,2.212,5.138,0.0,24.5,2
192,193,37,3,16,75,0.022,0.053,,0.1,0
193,194,37,2,0,31,0.118,0.161,1.0,0.9,2
194,195,40,2,15,73,1.033,1.449,0.0,3.4,0
195,196,35,3,5,30,1.526,1.654,,10.6,2
196,197,21,2,0,16,0.15,0.938,0.0,6.8,2
197,198,52,1,24,64,3.93,2.47,0.0,10.0,0
198,199,47,3,16,221,15.792,23.104,1.0,17.6,1
199,200,41,3,0,26,0.099,0.343,0.0,1.7,2
200,201,47,1,27,113,2.381,8.015,0.0,9.2,0
201,202,38,2,0,21,0.612,0.354,,4.6,2
202,203,22,3,1,25,1.977,1.473,1.0,13.8,2
203,204,39,1,8,21,0.276,0.564,0.0,4.0,2
204,205,45,1,8,27,0.416,0.286,,2.6,2
205,206,51,1,10,44,4.96,0.848,1.0,13.2,2
206,207,33,2,10,26,0.031,0.775,0.0,3.1,2
207,208,43,1,25,242,1.636,4.656,0.0,2.6,1
208,209,40,1,22,95,0.633,2.787,0.0,3.6,0
209,210,27,4,2,23,0.32,0.991,1.0,5.7,2
210,211,31,1,11,25,0.141,2.134,0.0,9.1,2
211,212,34,1,10,48,0.264,2.184,,5.1,2
212,213,37,1,9,57,1.357,1.778,0.0,5.5,2
213,214,44,4,18,78,0.565,0.215,,1.0,0
214,215,42,1,3,24,0.667,1.877,0.0,10.6,2
215,216,25,1,3,16,1.011,1.837,1.0,17.8,2
216,217,39,2,7,68,1.017,7.823,1.0,13.0,0
217,218,26,4,1,64,7.754,7.158,,23.3,0
218,219,36,1,19,45,0.92,4.525,,12.1,2
219,220,48,1,15,60,0.321,0.939,0.0,2.1,0
220,221,21,2,0,21,0.488,2.137,1.0,12.5,2
221,222,40,3,17,116,2.561,4.399,0.0,6.0,0
222,223,31,2,9,30,0.602,1.138,0.0,5.8,2
223,224,23,4,0,23,0.468,1.073,0.0,6.7,2
224,225,31,1,6,21,0.729,1.014,0.0,8.3,2
225,226,31,1,7,23,0.225,0.902,0.0,4.9,2
226,227,50,3,18,102,5.782,8.6,0.0,14.1,0
227,228,29,1,1,31,0.156,2.324,0.0,8.0,2
228,229,37,3,5,29,1.405,5.729,0.0,24.6,2
229,230,46,1,16,52,3.032,3.676,1.0,12.9,2
230,231,39,1,9,35,0.233,1.517,0.0,5.0,2
231,232,34,1,14,28,1.138,3.622,0.0,17.0,2
232,233,27,1,11,56,4.637,4.827,0.0,16.9,2
233,234,23,1,6,15,1.375,0.53,,12.7,2
234,235,41,1,24,83,6.589,5.031,0.0,14.0,0
235,236,29,1,1,18,0.03,0.168,0.0,1.1,2
236,237,44,1,19,40,0.344,4.016,,10.9,2
237,238,24,2,0,15,0.321,2.094,1.0,16.1,2
238,239,32,3,9,51,2.686,9.044,0.0,23.0,2
239,240,23,2,3,34,0.262,1.234,0.0,4.4,2
240,241,31,1,4,28,0.291,2.873,0.0,11.3,2
241,242,36,1,15,39,0.686,0.562,0.0,3.2,2
242,243,25,1,3,31,0.881,1.63,,8.1,2
243,244,26,1,10,32,0.126,1.378,0.0,4.7,2
244,245,43,1,4,26,0.751,1.095,,7.1,2
245,246,47,1,29,169,0.349,3.369,,2.2,1
246,247,43,1,10,69,0.411,4.005,0.0,6.4,0
247,248,37,1,18,54,4.593,1.941,0.0,12.1,2
248,249,35,4,10,45,1.04,2.785,,8.5,2
249,250,28,4,1,26,0.377,2.847,0.0,12.4,2
250,251,28,1,8,30,0.613,1.547,0.0,7.2,2
251,252,26,3,2,37,0.205,5.049,0.0,14.2,2
252,253,39,1,10,31,0.185,1.303,0.0,4.8,2
253,254,34,2,3,21,1.402,3.449,0.0,23.1,2
254,255,51,3,16,82,2.605,1.003,0.0,4.4,0
255,256,28,2,3,41,5.897,4.394,1.0,25.1,2
256,257,39,1,20,39,0.774,2.424,0.0,8.2,2
257,258,23,1,3,19,0.279,1.317,1.0,8.4,2
258,259,23,1,3,13,0.046,0.357,,3.1,2
259,260,21,1,4,26,1.421,0.893,0.0,8.9,2
260,261,40,1,3,23,0.409,1.178,0.0,6.9,2
261,262,26,4,1,92,6.506,5.454,,13.0,0
262,263,32,2,12,54,3.196,4.58,0.0,14.4,2
263,264,29,3,3,50,0.259,0.941,1.0,2.4,2
264,265,43,1,25,64,0.951,9.737,0.0,16.7,0
265,266,55,1,3,40,0.563,2.637,1.0,8.0,2
266,267,30,1,12,40,1.249,1.551,,7.0,2
267,268,38,3,15,63,5.091,3.351,0.0,13.4,0
268,269,40,1,2,28,0.185,1.803,0.0,7.1,2
269,270,43,1,12,38,0.129,1.239,0.0,3.6,2
270,271,35,2,1,24,0.591,2.409,1.0,12.5,2
271,272,24,1,8,24,0.382,0.818,0.0,5.0,2
272,273,35,1,11,40,0.572,0.588,,2.9,2
273,274,39,2,18,47,1.565,2.007,,7.6,2
274,275,41,2,5,25,0.393,2.157,0.0,10.2,2
275,276,28,1,2,17,0.199,0.226,1.0,2.5,2
276,277,24,2,2,28,1.787,3.057,1.0,17.3,2
277,278,40,3,3,55,1.751,7.324,1.0,16.5,2
278,279,29,1,8,27,0.402,2.244,0.0,9.8,2
279,280,26,2,4,28,0.226,2.434,0.0,9.5,2
280,281,27,1,5,26,0.13,0.182,,1.2,2
281,282,50,1,30,150,13.553,35.197,,32.5,0
282,283,41,1,15,120,2.659,0.821,0.0,2.9,0
283,284,26,1,0,14,0.256,1.214,0.0,10.5,2
284,285,48,1,22,100,3.704,5.396,0.0,9.1,0
285,286,35,2,1,24,0.417,1.455,,7.8,2
286,287,35,1,15,77,5.501,2.661,0.0,10.6,0
287,288,23,1,7,31,0.338,1.708,0.0,6.6,2
288,289,39,2,20,101,0.341,1.073,0.0,1.4,0
289,290,38,1,21,58,4.584,4.986,0.0,16.5,0
290,291,30,1,4,33,0.5,0.886,0.0,4.2,2
291,292,44,2,8,43,0.555,1.595,,5.0,2
292,293,33,1,0,23,0.077,0.13,0.0,0.9,2
293,294,34,1,15,39,4.373,5.26,1.0,24.7,2
294,295,27,2,6,34,0.238,1.258,0.0,4.4,2
295,296,30,1,1,22,1.139,1.171,0.0,10.5,2
296,297,27,2,1,20,0.377,1.683,1.0,10.3,2
297,298,29,1,9,30,0.155,2.305,0.0,8.2,2
298,299,25,4,1,34,0.133,2.757,1.0,8.5,2
299,300,41,1,23,91,0.573,11.894,0.0,13.7,0
300,301,42,2,11,73,2.869,2.095,0.0,6.8,0
301,302,38,3,12,64,0.895,2.817,0.0,5.8,0
302,303,23,1,5,17,0.302,1.041,0.0,7.9,2
303,304,33,1,2,24,1.041,1.263,0.0,9.6,2
304,305,31,1,2,22,1.739,1.869,1.0,16.4,2
305,306,37,2,6,62,1.186,4.084,0.0,8.5,0
306,307,40,1,10,45,2.013,6.447,0.0,18.8,2
307,308,31,1,3,16,3.065,2.103,,32.3,2
308,309,35,2,3,40,1.803,5.077,1.0,17.2,2
309,310,38,1,6,41,0.266,3.383,0.0,8.9,2
310,311,30,2,8,56,0.333,3.251,0.0,6.4,2
311,312,30,1,1,17,0.746,1.124,0.0,11.0,2
312,313,44,1,2,22,1.092,1.02,,9.6,2
313,314,29,2,3,15,0.147,0.243,0.0,2.6,2
314,315,39,1,19,45,0.916,0.749,0.0,3.7,2
315,316,26,1,0,17,0.142,0.708,,5.0,2
316,317,36,1,5,27,0.724,1.166,,7.0,2
317,318,31,2,0,27,1.089,2.367,1.0,12.8,2
318,319,38,2,12,40,0.898,1.142,,5.1,2
319,320,38,1,0,23,0.898,0.965,1.0,8.1,2
320,321,41,3,13,91,2.316,20.616,1.0,25.2,0
321,322,41,2,2,30,0.113,1.897,0.0,6.7,2
322,323,45,3,5,94,3.612,6.258,1.0,10.5,0
323,324,24,1,4,23,0.242,0.885,,4.9,2
324,325,22,1,4,16,0.084,0.108,0.0,1.2,2
325,326,34,1,13,56,0.864,2.552,0.0,6.1,2
326,327,25,1,0,18,0.514,2.888,1.0,18.9,2
327,328,29,2,6,18,0.45,0.468,1.0,5.1,2
328,329,35,2,13,105,1.418,0.577,0.0,1.9,0
329,330,39,1,19,48,1.93,4.358,0.0,13.1,2
330,331,34,1,17,59,1.808,2.912,0.0,8.0,0
331,332,44,2,21,113,3.192,11.724,0.0,13.2,0
332,333,23,2,0,21,0.776,1.618,1.0,11.4,2
333,334,46,1,6,31,1.986,1.796,0.0,12.2,2
334,335,41,4,9,47,0.437,1.913,0.0,5.0,2
335,336,52,1,9,24,0.802,3.806,1.0,19.2,2
336,337,23,1,1,17,0.012,0.26,0.0,1.6,2
337,338,48,1,28,70,4.334,4.066,0.0,12.0,0
338,339,35,1,10,24,1.084,4.028,,21.3,2
339,340,53,2,16,44,1.333,1.131,0.0,5.6,2
340,341,39,3,11,39,2.561,2.47,0.0,12.9,2
341,342,37,1,20,56,0.543,0.521,0.0,1.9,2
342,343,34,1,12,32,0.239,0.625,,2.7,2
343,344,49,2,2,20,0.379,3.001,1.0,16.9,2
344,345,39,1,23,75,3.133,11.042,0.0,18.9,0
345,346,42,2,7,41,0.941,0.945,0.0,4.6,2
346,347,28,2,1,16,0.574,1.778,0.0,14.7,2
347,348,27,3,5,75,2.207,2.518,0.0,6.3,0
348,349,24,1,2,21,0.025,0.101,0.0,0.6,2
349,350,34,1,5,33,0.778,1.631,0.0,7.3,2
350,351,47,1,31,136,14.231,17.185,1.0,23.1,0
351,352,26,4,1,27,0.312,0.471,0.0,2.9,2
352,353,35,1,17,42,0.093,1.167,0.0,3.0,2
353,354,31,1,6,33,0.146,1.24,0.0,4.2,2
354,355,29,1,13,27,0.069,0.552,0.0,2.3,2
355,356,44,1,9,33,0.546,1.17,0.0,5.2,2
356,357,40,2,13,102,6.227,13.051,1.0,18.9,0
357,358,36,4,1,30,0.324,3.126,0.0,11.5,2
358,359,32,3,6,22,0.385,1.089,,6.7,2
359,360,21,1,1,18,0.159,2.955,0.0,17.3,2
360,361,42,4,15,186,2.404,4.292,0.0,3.6,1
361,362,37,2,4,20,0.174,4.166,1.0,21.7,2
362,363,24,1,6,21,0.108,0.984,0.0,5.2,2
363,364,24,4,0,29,0.59,1.324,1.0,6.6,2
364,365,46,3,4,73,2.223,1.719,0.0,5.4,0
365,366,28,1,2,16,0.871,1.561,0.0,15.2,2
366,367,41,1,16,68,0.448,3.224,0.0,5.4,0
367,368,46,5,15,126,0.477,3.429,0.0,3.1,0
368,369,51,2,22,120,4.14,4.98,0.0,7.6,0
369,370,36,1,17,54,0.727,1.649,0.0,4.4,2
370,371,25,1,1,20,0.472,0.868,1.0,6.7,2
371,372,27,2,3,33,1.633,2.723,0.0,13.2,2
372,373,43,1,23,72,1.182,4.29,0.0,7.6,0
373,374,53,1,6,27,0.594,1.134,1.0,6.4,2
374,375,32,1,4,16,0.894,3.666,1.0,28.5,2
375,376,36,1,0,25,2.778,2.147,0.0,19.7,2
376,377,29,2,9,30,3.646,2.864,,21.7,2
377,378,35,1,18,42,0.205,2.903,0.0,7.4,2
378,379,32,2,0,18,0.296,0.748,1.0,5.8,2
379,380,25,2,1,14,0.233,1.153,,9.9,2
380,381,42,1,2,30,1.472,1.438,0.0,9.7,2
381,382,25,1,9,20,0.105,0.595,0.0,3.5,2
382,383,20,3,0,17,0.044,0.347,0.0,2.3,2
383,384,50,1,4,23,0.141,2.734,0.0,12.5,2
384,385,46,2,22,144,3.325,12.659,0.0,11.1,0
385,386,33,1,15,32,0.491,1.941,0.0,7.6,2
386,387,43,1,19,79,0.782,5.143,0.0,7.5,0
387,388,30,2,4,21,0.492,3.351,0.0,18.3,2
388,389,34,1,3,36,0.624,1.068,0.0,4.7,2
389,390,37,1,3,25,0.276,0.649,0.0,3.7,2
390,391,38,1,4,19,1.245,1.339,0.0,13.6,2
391,392,32,2,11,57,5.44,8.126,1.0,23.8,2
392,393,39,1,15,39,0.14,0.562,0.0,1.8,2
393,394,31,1,7,41,2.996,9.591,1.0,30.7,2
394,395,25,1,5,22,0.403,1.995,0.0,10.9,2
395,396,31,2,12,44,1.867,2.357,,9.6,2
396,397,29,2,0,23,1.242,0.598,,8.0,2
397,398,45,2,21,132,2.558,1.402,0.0,3.0,0
398,399,39,1,4,38,1.178,1.292,0.0,6.5,2
399,400,34,1,4,23,0.617,0.671,,5.6,2
400,401,24,2,3,24,2.173,2.411,0.0,19.1,2
401,402,30,1,10,19,0.336,0.5,0.0,4.4,2
402,403,30,1,0,19,0.624,2.53,1.0,16.6,2
403,404,27,1,0,18,0.583,1.721,0.0,12.8,2
404,405,31,1,5,25,1.177,2.348,0.0,14.1,2
405,406,47,3,9,52,2.54,7.912,1.0,20.1,2
406,407,47,2,4,33,1.195,1.148,1.0,7.1,2
407,408,45,2,15,51,1.551,7.68,0.0,18.1,2
408,409,31,4,7,97,1.827,3.993,,6.0,0
409,410,45,1,7,29,0.739,1.03,,6.1,2
410,411,29,1,12,40,1.632,1.048,0.0,6.7,2
411,412,36,2,12,60,1.721,3.019,0.0,7.9,0
412,413,29,2,10,44,3.703,4.261,0.0,18.1,2
413,414,39,1,2,22,1.916,3.166,1.0,23.1,2
414,415,22,2,0,35,0.781,2.369,1.0,9.0,2
415,416,46,1,14,35,1.349,2.221,0.0,10.2,2
416,417,38,1,21,65,2.533,8.387,,16.8,0
417,418,37,1,1,24,1.801,1.823,1.0,15.1,2
418,419,42,1,12,51,2.412,8.502,0.0,21.4,2
419,420,36,1,4,25,0.144,0.856,,4.0,2
420,421,34,1,18,53,0.84,4.725,0.0,10.5,2
421,422,38,3,12,63,5.715,4.365,1.0,16.0,0
422,423,27,1,11,21,0.915,1.479,,11.4,2
423,424,35,2,9,30,0.65,1.63,0.0,7.6,2
424,425,48,1,10,70,10.679,9.061,,28.2,0
425,426,45,2,18,35,0.548,5.542,0.0,17.4,2
426,427,43,1,4,29,0.053,1.281,0.0,4.6,2
427,428,54,1,9,28,1.558,2.586,1.0,14.8,2
428,429,35,3,7,38,1.383,4.355,0.0,15.1,2
429,430,28,1,4,19,0.287,0.492,0.0,4.1,2
430,431,39,1,16,52,4.16,6.24,0.0,20.0,2
431,432,43,1,8,32,1.234,4.846,,19.0,2
432,433,32,2,2,15,0.119,1.246,1.0,9.1,2
433,434,22,3,0,18,0.478,0.908,0.0,7.7,2
434,435,41,3,18,71,6.566,4.581,1.0,15.7,0
435,436,34,2,4,25,0.57,0.88,0.0,5.8,2
436,437,34,2,9,27,0.295,0.164,0.0,1.7,2
437,438,31,1,1,24,0.217,0.863,0.0,4.5,2
438,439,55,1,19,78,4.405,7.763,0.0,15.6,0
439,440,40,1,21,46,0.967,1.885,0.0,6.2,2
440,441,41,1,13,44,0.071,0.677,0.0,1.7,2
441,442,43,2,10,37,0.676,2.469,0.0,8.5,2
442,443,36,1,6,26,0.03,2.128,0.0,8.3,2
443,444,51,2,31,249,4.273,15.149,0.0,7.8,1
444,445,40,1,17,55,2.126,4.144,,11.4,2
445,446,27,3,5,42,2.708,5.65,1.0,19.9,2
446,447,36,2,11,49,0.273,0.364,0.0,1.3,2
447,448,38,1,5,54,1.5,4.224,0.0,10.6,2
448,449,47,1,17,43,0.588,1.82,0.0,5.6,2
449,450,33,1,13,42,0.228,1.284,0.0,3.6,2
450,451,41,3,12,86,4.991,17.799,1.0,26.5,0
451,452,33,1,9,29,1.349,2.653,1.0,13.8,2
452,453,21,3,0,26,1.53,0.472,0.0,7.7,2
453,454,34,1,0,21,0.187,1.325,0.0,7.2,2
454,455,51,2,27,166,0.821,18.269,0.0,11.5,1
455,456,36,2,0,30,0.329,2.581,0.0,9.7,2
456,457,23,2,0,17,2.044,2.665,1.0,27.7,2
457,458,34,1,4,28,1.058,1.574,,9.4,2
458,459,29,1,7,22,0.551,1.583,0.0,9.7,2
459,460,46,3,9,60,1.607,7.574,0.0,15.3,0
460,461,45,3,2,39,0.459,1.452,0.0,4.9,2
461,462,41,3,17,176,11.359,5.009,1.0,9.3,1
462,463,28,1,4,16,1.085,2.723,0.0,23.8,2
463,464,37,1,6,29,1.716,3.011,0.0,16.3,2
464,465,25,1,8,35,0.077,0.938,0.0,2.9,2
465,466,48,3,0,19,0.85,1.202,0.0,10.8,2
466,467,37,3,12,83,0.32,3.083,0.0,4.1,0
467,468,32,1,3,23,0.053,1.373,0.0,6.2,2
468,469,31,1,15,60,0.804,2.076,0.0,4.8,0
469,470,48,4,14,59,4.936,4.799,1.0,16.5,0
470,471,45,1,22,91,1.256,9.391,0.0,11.7,0
