,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
17,Postgraduate,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,39571200000000000,72,1782,Partner,1,3,1
18,Undergraduate,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,52099200000000000,36,133,Alone,1,2,1
19,Graduate,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,59616000000000000,39,316,Partner,0,2,0
20,Graduate,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46569600000000000,42,1730,Partner,1,3,1
21,Postgraduate,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,47779200000000000,72,972,Partner,1,3,1
22,Postgraduate,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,14601600000000000,67,544,Partner,1,3,1
23,Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,40435200000000000,70,444,Partner,1,3,1
24,Graduate,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,46915200000000000,52,75,Alone,0,1,0
25,Graduate,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,34387200000000000,45,257,Partner,2,4,1
26,Graduate,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,34041600000000000,32,131,Partner,1,3,1
27,Postgraduate,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,18921600000000000,56,1672,Partner,0,2,0
28,Postgraduate,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,3283200000000000,32,30,Alone,0,1,0
29,Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,35769600000000000,58,318,Partner,0,2,0
30,Graduate,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,54172800000000000,51,120,Partner,1,3,1
31,Postgraduate,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,52531200000000000,69,302,Alone,2,3,1
32,Postgraduate,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,42681600000000000,75,1196,Partner,0,2,0
33,Postgraduate,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,26265600000000000,70,65,Alone,2,3,1
34,Postgraduate,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,15552000000000000,51,913,Partner,1,3,1
35,Undergraduate,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,25920000000000000,45,81,Partner,1,3,1
36,Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,11923200000000000,48,67,Alone,1,2,1
37,Postgraduate,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,44323200000000000,78,902,Alone,0,1,0
38,Graduate,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,36806400000000000,41,1395,Partner,1,3,1
39,Postgraduate,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40953600000000000,36,53,Partner,1,3,1
40,Graduate,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,47692800000000000,64,22,Partner,1,3,1
41,Postgraduate,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,23328000000000000,46,31,Partner,1,3,1
42,Graduate,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,86400000000000,45,984,Alone,0,1,0
43,Undergraduate,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,51580800000000000,25,122,Partner,0,2,0
44,Graduate,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,34646400000000000,53,55,Partner,1,3,1
45,Postgraduate,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,51667200000000000,67,1319,Partner,2,4,1
46,Graduate,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,4147200000000000,64,507,Alone,1,2,1
47,Postgraduate,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,59356800000000000,57,1693,Partner,0,2,0
48,Graduate,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,46915200000000000,44,72,Alone,1,2,1
49,Graduate,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1900800000000000,44,1617,Alone,0,1,0
50,Graduate,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,33004800000000000,43,606,Partner,2,4,1
51,Postgraduate,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,50716800000000000,66,1957,Partner,0,2,0
52,Graduate,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,39139200000000000,55,1093,Alone,0,1,0
53,Graduate,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,5356800000000000,33,29,Alone,1,2,1
54,Postgraduate,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,10195200000000000,53,518,Partner,1,3,1
55,Postgraduate,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,31104000000000000,39,1438,Alone,0,1,0
56,Graduate,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,57024000000000000,46,612,Partner,2,4,1
57,Graduate,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,42854400000000000,69,884,Alone,1,2,1
58,Postgraduate,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,33091200000000000,70,606,Alone,1,2,1
59,Graduate,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,17712000000000000,73,1076,Partner,0,2,0
60,Graduate,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34905600000000000,50,34,Partner,1,3,1
61,Graduate,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,4233600000000000,54,11,Partner,2,4,1
62,Undergraduate,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,8812800000000000,42,1274,Alone,1,2,1
63,Graduate,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,23760000000000000,63,653,Partner,1,3,1
64,Graduate,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,38620800000000000,51,1562,Partner,3,5,1
65,Postgraduate,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,56678400000000000,67,1253,Partner,0,2,0
66,Graduate,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,40521600000000000,62,863,Partner,1,3,1
67,Postgraduate,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,38880000000000000,46,661,Partner,2,4,1
68,Graduate,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,5184000000000000,69,65,Partner,0,2,0
69,Graduate,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48124800000000000,44,13,Alone,1,2,1
70,Postgraduate,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,57974400000000000,49,1890,Partner,0,2,0
71,Graduate,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,54000000000000000,45,2209,Alone,0,1,0
72,Undergraduate,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,25747200000000000,45,18,Partner,0,2,0
73,Graduate,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,46915200000000000,56,692,Partner,0,2,0
74,Graduate,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,57801600000000000,36,165,Alone,1,2,1
75,Graduate,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,32054400000000000,52,16,Partner,1,3,1
76,Undergraduate,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,31190400000000000,48,79,Partner,1,3,1
77,Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,35769600000000000,58,318,Partner,0,2,0
78,Graduate,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,10713600000000000,34,778,Alone,0,1,0
79,Graduate,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,27820800000000000,61,56,Partner,2,4,1
80,Postgraduate,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,30067200000000000,51,151,Partner,2,4,1
81,Graduate,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,2764800000000000,64,372,Alone,1,2,1
82,Graduate,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,4147200000000000,48,1366,Partner,0,2,0
83,Graduate,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,13737600000000000,54,194,Partner,1,3,1
84,Postgraduate,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,8467200000000000,49,32,Alone,1,2,1
85,Postgraduate,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,3110400000000000,51,43,Partner,1,3,1
86,Graduate,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,3283200000000000,38,45,Partner,1,3,1
87,Graduate,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,50457600000000000,61,606,Alone,1,2,1
88,Graduate,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,38361600000000000,49,63,Alone,2,3,1
89,Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,18144000000000000,70,978,Partner,0,2,0
90,Postgraduate,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,32313600000000000,38,410,Partner,0,2,0
91,Undergraduate,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,29462400000000000,61,72,Alone,1,2,1
92,Postgraduate,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,7862400000000000,62,55,Alone,1,2,1
93,Graduate,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,37584000000000000,42,1169,Partner,1,3,1
94,Postgraduate,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,35251200000000000,76,1120,Partner,0,2,0
95,Graduate,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,4492800000000000,62,1097,Partner,0,2,0
96,Undergraduate,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,17366400000000000,42,29,Partner,1,3,1
97,Graduate,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,24019200000000000,57,187,Partner,2,4,1
98,Graduate,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,44236800000000000,52,910,Partner,2,4,1
99,Graduate,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,48124800000000000,43,145,Alone,1,2,1
100,Postgraduate,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,49161600000000000,61,850,Partner,0,2,0
101,Graduate,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,20649600000000000,42,969,Partner,1,3,1
102,Postgraduate,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,51494400000000000,30,1820,Alone,0,1,0
103,Postgraduate,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,345600000000000,58,608,Partner,1,3,1
104,Graduate,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,46915200000000000,30,730,Alone,0,1,0
105,Postgraduate,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,48729600000000000,41,551,Partner,1,3,1
106,Graduate,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,25228800000000000,59,114,Alone,2,3,1
107,Graduate,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,13478400000000000,51,1724,Partner,0,2,0
108,Undergraduate,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,42768000000000000,43,577,Partner,1,3,1
109,Undergraduate,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,30499200000000000,54,81,Partner,2,4,1
110,Graduate,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,19612800000000000,52,33,Partner,1,3,1
111,Postgraduate,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,32313600000000000,68,660,Partner,1,3,1
112,Postgraduate,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,10800000000000000,54,80,Alone,1,2,1
113,Postgraduate,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,25747200000000000,36,30,Partner,2,4,1
114,Graduate,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,37411200000000000,45,43,Alone,1,2,1
115,Graduate,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,40953600000000000,38,1135,Alone,0,1,0
116,Undergraduate,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,42854400000000000,56,559,Partner,0,2,0
117,Graduate,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,37497600000000000,37,1923,Alone,0,1,0
118,Postgraduate,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,1814400000000000,68,90,Partner,2,4,1
119,Postgraduate,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,4320000000000000,65,661,Partner,2,4,1
120,Graduate,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,23500800000000000,69,463,Partner,1,3,1
121,Postgraduate,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,41126400000000000,63,632,Alone,2,3,1
122,Graduate,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,12009600000000000,52,725,Partner,0,2,0
123,Postgraduate,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,27561600000000000,57,279,Partner,2,4,1
124,Postgraduate,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,40521600000000000,54,1482,Partner,0,2,0
125,Undergraduate,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,59616000000000000,45,29,Alone,1,2,1
126,Postgraduate,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,30844800000000000,62,106,Partner,3,5,1
127,Postgraduate,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,3542400000000000,48,49,Alone,2,3,1
128,Postgraduate,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,29030400000000000,56,38,Alone,2,3,1
129,Postgraduate,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,53395200000000000,29,2077,Alone,0,1,0
130,Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,19612800000000000,45,1053,Partner,1,3,1
131,Graduate,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,37670400000000000,59,1385,Partner,0,2,0
132,Postgraduate,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,26352000000000000,47,871,Alone,1,2,1
133,Graduate,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,40348800000000000,33,312,Partner,1,3,1
134,Graduate,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,53481600000000000,45,877,Partner,2,4,1
135,Graduate,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,52617600000000000,46,68,Partner,1,3,1
136,Graduate,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,26352000000000000,40,22,Partner,1,3,1
137,Undergraduate,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,58406400000000000,48,211,Partner,3,5,1
138,Postgraduate,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,691200000000000,55,127,Partner,0,2,0
139,Postgraduate,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,5702400000000000,68,459,Partner,2,4,1
140,Graduate,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,9849600000000000,52,460,Partner,1,3,1
141,Undergraduate,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,48556800000000000,49,429,Partner,1,3,1
142,Graduate,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,4147200000000000,33,89,Alone,1,2,1
143,Postgraduate,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,54259200000000000,69,1021,Partner,1,3,1
144,Graduate,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,42768000000000000,72,1381,Partner,0,2,0
145,Graduate,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,30758400000000000,63,306,Alone,1,2,1
146,Graduate,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,25056000000000000,43,18,Alone,3,4,1
147,Graduate,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,22032000000000000,44,162,Partner,1,3,1
148,Graduate,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,27043200000000000,66,1231,Alone,0,1,0
149,Postgraduate,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,31363200000000000,63,13,Alone,3,4,1
150,Postgraduate,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,51926400000000000,76,1706,Partner,0,2,0
151,Graduate,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,15120000000000000,37,121,Partner,1,3,1
152,Postgraduate,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,36633600000000000,46,1293,Alone,0,1,0
153,Postgraduate,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,10368000000000000,48,1608,Partner,1,3,1
154,Graduate,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,19699200000000000,55,88,Partner,3,5,1
155,Graduate,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,19267200000000000,68,421,Alone,0,1,0
156,Graduate,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,26352000000000000,62,259,Alone,0,1,0
157,Graduate,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,20649600000000000,33,1117,Alone,0,1,0
158,Graduate,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,10713600000000000,64,89,Partner,2,4,1
159,Graduate,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,5961600000000000,56,36,Partner,2,4,1
160,Graduate,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,30326400000000000,39,57,Partner,1,3,1
161,Graduate,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,5961600000000000,51,148,Partner,2,4,1
162,Postgraduate,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,12960000000000000,62,93,Partner,2,4,1
163,Graduate,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,7430400000000000,54,119,Alone,1,2,1
164,Postgraduate,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,56592000000000000,46,1835,Partner,1,3,1
165,Postgraduate,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,48384000000000000,73,1318,Partner,0,2,0
166,Postgraduate,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,3196800000000000,51,45,Partner,2,4,1
167,Graduate,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,432000000000000,62,10,Partner,3,5,1
168,Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,18144000000000000,70,978,Partner,0,2,0
169,Postgraduate,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,4233600000000000,45,191,Partner,1,3,1
170,Undergraduate,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,4320000000000000,33,57,Partner,1,3,1
171,Postgraduate,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,23673600000000000,75,1033,Partner,0,2,0
172,Postgraduate,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,13651200000000000,37,66,Partner,1,3,1
173,Undergraduate,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,1209600000000000,60,43,Partner,0,2,0
174,Graduate,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,49334400000000000,38,50,Partner,1,3,1
175,Postgraduate,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,9763200000000000,51,39,Alone,1,2,1
176,Graduate,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,28598400000000000,55,608,Partner,1,3,1
177,Graduate,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,40348800000000000,45,1581,Partner,0,2,0
